Date,Private_Domestic(Price_Index),First_hand_sales_quantity,First_hand_sales_amount,Total_completions,Total_stock,Total_take_up,Total_vacancy,Unemployment_rate,CPI,HIBOR_1_month,HK$_million,HSI _close,HSI_volume
5/5/2003,60.11805933,2387.683319,5478545885,30319.52309,1050170.73,19409.08657,72354.38371,7.097964602,73.3957335,1.4375,3577400.142,8916.490234,203148800
5/6/2003,60.07899321,2355.376225,5357829738,30282.33738,1049744.602,19411.18941,72332.64841,7.09554236,73.39230233,1.4375,3579505.779,8889.219727,219887800
5/7/2003,60.04075525,2315.909956,5233787529,30245.31743,1049320.57,19413.48719,72310.91868,7.093120838,73.38888291,1.40625,3581661.803,8901.049805,217970400
5/9/2003,60.00334544,2269.284514,5106419260,30208.46323,1048898.634,19415.9799,72289.19451,7.090700039,73.38547524,1.40179,3583868.213,9084.160156,339098800
5/12/2003,59.96676378,2215.499898,4975724931,30171.77479,1048478.793,19418.66754,72267.47591,7.08827996,73.38207933,1.38616,3586125.01,9155.570313,286413600
5/13/2003,59.93101027,2154.556109,4841704542,30135.25211,1048061.048,19421.55011,72245.76287,7.085860602,73.37869516,1.375,3588432.194,9119.040039,202533600
5/14/2003,59.89608492,2086.453146,4704358092,30098.89518,1047645.398,19424.62762,72224.0554,7.083441966,73.37532275,1.40625,3590789.764,9103.69043,234801200
5/15/2003,59.86198772,2011.19101,4563685581,30062.704,1047231.843,19427.90006,72202.3535,7.081024051,73.37196209,1.38616,3593197.721,9126.070313,214710200
5/16/2003,59.82871867,1928.769699,4419687011,30026.67859,1046820.384,19431.36742,72180.65717,7.078606858,73.36861318,1.42188,3595656.065,9093.179688,176185000
5/19/2003,59.79627778,1840.793648,4273944732,29990.81892,1046411.021,19435.02972,72158.9664,7.076190385,73.36527602,1.37054,3598143.274,9087.370117,143171000
5/20/2003,59.76466504,1756.889451,4135952857,29955.12502,1046003.753,19438.88696,72137.2812,7.073774634,73.36195061,1.35714,3600530.228,9050.400391,149959600
5/21/2003,59.73388045,1678.661542,4007293737,29919.59687,1045598.581,19442.93912,72115.60156,7.071359604,73.35863695,1.33036,3602795.406,9059.799805,201113200
5/22/2003,59.70392402,1606.10992,3887967374,29884.23448,1045195.504,19447.18622,72093.92749,7.068945296,73.35533504,1.34821,3604938.807,9131.490234,210120000
5/23/2003,59.67479573,1539.234586,3777973767,29849.03784,1044794.522,19451.62825,72072.25899,7.066531708,73.35204489,1.34375,3606960.431,9303.730469,305202400
5/26/2003,59.64649561,1478.035538,3677312916,29814.00696,1044395.636,19456.26521,72050.59605,7.064118842,73.34876649,1.33705,3608860.279,9492.709961,327703800
5/27/2003,59.61902363,1422.512779,3585984821,29779.14183,1043998.846,19461.0971,72028.93868,7.061706697,73.34549983,1.32589,3610638.351,9420.80957,276214200
5/28/2003,59.59237981,1372.666306,3503989482,29744.44246,1043604.151,19466.12393,72007.28688,7.059295273,73.34224493,1.33036,3612294.646,9510.620117,321299400
5/29/2003,59.56656414,1328.496121,3431326898,29709.90885,1043211.552,19471.34568,71985.64064,7.056884571,73.33900178,1.33705,3613829.165,9508.549805,276446600
5/30/2003,59.54157662,1290.002223,3367997071,29675.54099,1042821.048,19476.76237,71963.99997,7.05447459,73.33577038,1.32813,3615241.908,9487.379883,250599000
5/31/2003,59.7,1257,3314000000,29641.33889,1042432.639,19482.37399,71942.36487,8.2,73.1,1.746418351,3616533,9551.961339,244661497.9
6/2/2003,59.49408605,1230.043289,3269335685,29607.30254,1042046.327,19488.18054,71920.73533,7.049656791,73.32934284,1.32366,3617702.063,9637.530273,257552600
6/3/2003,59.47158299,1208.578253,3234004126,29573.43195,1041662.109,19494.18203,71899.11136,7.047248973,73.3261467,1.34598,3618749.476,9662.820313,294915400
6/5/2003,59.44990809,1192.789505,3208005322,29539.72712,1041279.987,19500.37844,71877.49296,7.044841877,73.3229623,1.3125,3619675.113,9639.009766,385946200
6/6/2003,59.42906134,1182.677043,3191339275,29506.18804,1040899.961,19506.76979,71855.88012,7.042435502,73.31978966,1.27902,3620478.973,9694.629883,518067000
6/9/2003,59.40904274,1178.240869,3184005984,29472.81472,1040522.03,19513.35607,71834.27285,7.040029849,73.31662877,1.2567,3621161.057,9733.509766,253544200
6/10/2003,59.38985229,1179.480983,3186005449,29439.60716,1040146.195,19520.13729,71812.67114,7.037624916,73.31347963,1.22321,3621721.365,9703.719727,236373800
6/11/2003,59.37149,1186.397384,3197337669,29406.56535,1039772.455,19527.11343,71791.075,7.035220705,73.31034224,1.18527,3622159.896,9662.05957,273654000
6/12/2003,59.35395586,1198.990072,3218002646,29373.68929,1039400.811,19534.28451,71769.48443,7.032817215,73.30721661,1.15625,3622476.65,9736.839844,213808400
6/13/2003,59.33724988,1217.259047,3248000379,29340.979,1039031.262,19541.65052,71747.89942,7.030414446,73.30410272,1.14732,3622671.629,9855.639648,343513400
6/16/2003,59.32137204,1241.20431,3287330868,29308.43446,1038663.808,19549.21146,71726.31998,7.028012399,73.30100058,1.11607,3622744.83,9862.280273,225146200
6/17/2003,59.30632236,1268.916571,3333804739,29276.05567,1038298.451,19556.96733,71704.74611,7.025611072,73.2979102,1.12054,3622789.385,10030.37012,349243000
6/18/2003,59.29210084,1298.486543,3385232620,29243.84264,1037935.188,19564.91813,71683.1778,7.023210467,73.29483157,1.125,3622898.423,9970.299805,399709000
6/19/2003,59.27870746,1329.914224,3441614510,29211.79537,1037574.022,19573.06387,71661.61506,7.020810584,73.29176469,1.12277,3623071.945,9980.110352,251249200
6/20/2003,59.26614224,1363.199615,3502950409,29179.91385,1037214.95,19581.40454,71640.05789,7.018411421,73.28870956,1.04241,3623309.949,9930.30957,164758000
6/23/2003,59.25440518,1398.342716,3569240318,29148.19809,1036857.974,19589.94014,71618.50628,7.01601298,73.28566618,1.02455,3623612.436,9734.290039,234125800
6/24/2003,59.24349626,1435.343527,3640484236,29116.64808,1036503.094,19598.67067,71596.96024,7.01361526,73.28263456,1.02009,3623979.407,9629.349609,256039000
6/25/2003,59.2334155,1474.202047,3716682163,29085.26383,1036150.309,19607.59613,71575.41977,7.011218261,73.27961468,1.01563,3624410.86,9628.990234,146104800
6/26/2003,59.22416289,1514.918278,3797834099,29054.04534,1035799.62,19616.71653,71553.88486,7.008821983,73.27660656,1.12946,3624906.797,9606.110352,175699000
6/27/2003,59.21573844,1557.492218,3883940045,29022.9926,1035451.026,19626.03186,71532.35552,7.006426427,73.27361018,1.12054,3625467.216,9657.209961,165730000
6/30/2003,59.3,1602,3975000000,28992.10562,1035104.528,19635.54212,71510.83175,8.5,72.5,1.10714,3626092,9577.120117,189464000
7/2/2003,59.20137399,1648.213229,4071013964,28961.3844,1034760.125,19645.24731,71489.31354,7.001637478,73.26765269,1.10714,3626781.505,9602.620117,263521400
7/3/2003,59.19543399,1696.360299,4171981938,28930.82893,1034417.818,19655.14743,71467.8009,6.999244086,73.26469157,1.11384,3627535.374,9646.099609,278702600
7/4/2003,59.19032215,1746.365079,4277903921,28900.43921,1034077.606,19665.24249,71446.29382,6.996851415,73.2617422,1.10714,3628353.726,9636.80957,156358000
7/7/2003,59.18603846,1798.227568,4388779913,28870.21526,1033739.49,19675.53248,71424.79231,6.994459464,73.25880459,1.10938,3629236.561,9892.400391,267968200
7/8/2003,59.18258292,1851.947768,4504609915,28840.15706,1033403.469,19686.0174,71403.29637,6.992068236,73.25587872,1.10045,3630183.879,9992.870117,386310600
7/9/2003,59.17995554,1907.525678,4625393926,28810.26461,1033069.544,19696.69725,71381.80599,6.989677728,73.25296461,1.10938,3631195.68,10027.41016,283513000
7/10/2003,59.1781563,1964.961297,4751131946,28780.53792,1032737.714,19707.57203,71360.32118,6.987287942,73.25006224,1.10491,3632271.964,9983.30957,211648200
7/11/2003,59.17718523,2024.254627,4881823975,28750.97699,1032407.98,19718.64175,71338.84194,6.984898877,73.24717163,1.10268,3633412.732,9911.5,203949000
7/14/2003,59.1770423,2085.405666,5017470014,28721.58181,1032080.341,19729.9064,71317.36826,6.982510533,73.24429277,1.11161,3634617.982,10122.40039,225176000
7/15/2003,59.17772753,2148.414415,5158070062,28692.35239,1031754.798,19741.36598,71295.90015,6.98012291,73.24142566,1.12946,3635887.715,10135.54981,262646200
7/16/2003,59.17924091,2213.280874,5303624119,28663.28872,1031431.35,19753.02049,71274.43761,6.977736009,73.23857031,1.14732,3637221.932,10207.16992,203045600
7/17/2003,59.18158245,2277.655071,5447382736,28634.39082,1031109.998,19764.86993,71252.98063,6.975349829,73.2357267,1.17857,3638576.878,10096.71973,207243400
7/18/2003,59.18475213,2339.187035,5582596464,28605.65866,1030790.742,19776.91431,71231.52922,6.97296437,73.23289484,1.1875,3639908.799,10140.83984,1086921200
7/21/2003,59.18874997,2397.876766,5709265303,28577.09226,1030473.58,19789.15362,71210.08338,6.970579633,73.23007474,1.1875,3641217.695,10102.86035,245555000
7/22/2003,59.19357597,2453.724263,5827389253,28548.69162,1030158.515,19801.58786,71188.6431,6.968195616,73.22726639,1.22321,3642503.567,10008.70996,192202000
7/23/2003,59.19923011,2506.729527,5936968313,28520.45674,1029845.545,19814.21703,71167.20839,6.965812321,73.22446979,1.1875,3643766.414,9900.55957,207427000
7/24/2003,59.20571241,2556.892558,6038002484,28492.38761,1029534.67,19827.04113,71145.77924,6.963429747,73.22168494,1.18527,3645006.237,9923.139648,145688200
7/25/2003,59.21302287,2604.213356,6130491766,28464.48424,1029225.891,19840.06017,71124.35566,6.961047895,73.21891184,1.20089,3646223.034,9939.200195,145578000
7/28/2003,59.22116147,2648.69192,6214436158,28436.74662,1028919.207,19853.27414,71102.93765,6.958666763,73.21615049,1.20089,3647416.808,10134.87988,242282600
7/29/2003,59.23012823,2690.328251,6289835661,28409.17476,1028614.619,19866.68304,71081.52521,6.956286353,73.21340089,1.1875,3648587.556,10198.59961,282397000
7/30/2003,59.23992314,2729.122349,6356690275,28381.76865,1028312.126,19880.28687,71060.11833,6.953906664,73.21066305,1.18527,3649735.28,10121.21973,287519200
7/31/2003,58.4,2765,6415000000,28354.5283,1028011.729,19894.08563,71038.71701,8.4,71.8,1.17188,3650860,10134.83008,287648800
8/1/2003,59.26199743,2798.183845,6464764835,28327.45371,1027713.427,19908.07933,71017.32127,6.94914945,73.20522261,1.16295,3651961.654,10248.59961,313456600
8/4/2003,59.2742768,2828.451243,6505984782,28300.54487,1027417.221,19922.26796,70995.93109,6.946771925,73.20252002,1.14063,3653040.304,10183.13965,207461400
8/5/2003,59.28738432,2855.876408,6538659839,28273.80179,1027123.111,19936.65152,70974.54648,6.944395121,73.19982918,1.13393,3654095.929,10177.37988,177532800
8/6/2003,59.30132,2880.459339,6562790006,28247.22447,1026831.096,19951.23001,70953.16743,6.942019039,73.19715009,1.12946,3655128.53,9987.540039,294305600
8/7/2003,59.31608383,2902.200037,6578375285,28220.8129,1026541.176,19966.00343,70931.79395,6.939643677,73.19448276,1.125,3656138.106,9958.049805,227656200
8/8/2003,59.33167581,2921.098502,6585415674,28194.56708,1026253.352,19980.97179,70910.42603,6.937269037,73.19182717,1.125,3657124.657,9945.219727,229164200
8/11/2003,59.34809595,2937.154734,6583911173,28168.48703,1025967.623,19996.13507,70889.06369,6.934895118,73.18918334,1.12277,3658088.184,10093.54004,154525400
8/12/2003,59.36534424,2950.368732,6573861784,28142.57273,1025683.99,20011.49329,70867.70691,6.932521921,73.18655125,1.125,3659028.686,10184.16992,220316200
8/13/2003,59.38342068,2960.740497,6555267505,28116.82418,1025402.452,20027.04645,70846.35569,6.930149444,73.18393092,1.12054,3659946.163,10301.46973,368262600
8/14/2003,59.40232527,2968.270029,6528128337,28091.24139,1025123.01,20042.79453,70825.01004,6.927777689,73.18132234,1.11161,3660840.616,10374.01953,250020800
8/15/2003,59.42205802,2972.957327,6492444280,28065.82436,1024845.664,20058.73754,70803.66996,6.925406655,73.17872551,1.10491,3661712.044,10424.55957,224160200
8/18/2003,59.44261892,2974.214021,6450025607,28040.57308,1024570.413,20074.87549,70782.33545,6.923036343,73.17614043,1.12723,3662582.089,10525.04004,345808600
8/19/2003,59.46400798,2971.45174,6402682590,28015.48756,1024297.257,20091.20837,70761.0065,6.920666751,73.1735671,1.12723,3663472.395,10509.29004,335816600
8/20/2003,59.48622519,2964.670482,6350415231,27990.56779,1024026.197,20107.73618,70739.68312,6.918297881,73.17100553,1.12723,3664382.96,10475.33008,272315600
8/21/2003,59.50927055,2953.87025,6293223528,27965.81379,1023757.232,20124.45893,70718.3653,6.915929732,73.1684557,1.125,3665313.784,10643.62988,407549200
8/22/2003,59.53314406,2939.051041,6231107482,27941.22553,1023490.363,20141.3766,70697.05305,6.913562304,73.16591763,1.1183,3666264.869,10760.73047,396032200
8/25/2003,59.55784573,2920.212857,6164067093,27916.80304,1023225.59,20158.48921,70675.74637,6.911195598,73.16339131,1.08705,3667236.213,10764.21973,364139000
8/26/2003,59.58337555,2897.355697,6092102360,27892.54629,1022962.912,20175.79675,70654.44525,6.908829613,73.16087674,1.08705,3668227.816,10753.92969,291578200
